ax (m/s^2),ay (m/s^2),az (m/s^2)
0.7305,2.2618,-1.1108
0.6699,2.4625,-1.3794
0.7015,2.714,-1.6841
0.6904,3.0688,-1.7821
0.6547,3.461,-1.3427
0.742,3.7347,-0.5364
1.0718,3.7635,0.4065
1.6636,3.4834,1.4252
2.4479,2.8531,2.3739
3.1238,1.9799,3.1173
3.415,1.012,3.4781
3.1567,0.0362,3.4066
2.4797,-0.8217,2.914
1.5349,-1.4232,2.115
0.5406,-1.8116,1.1666
-0.3493,-2.0652,0.2064
-1.0702,-2.2268,-0.5051
-1.3931,-2.2785,-0.9143
-1.1987,-2.2058,-0.9026
-0.7431,-1.9882,-0.6284
-0.294,-1.6795,-0.1784
0.1308,-1.3919,0.3451
0.6306,-1.1752,0.8404
1.0035,-0.9978,1.3142
1.0319,-0.8586,1.6815
0.9022,-0.7084,1.9709
0.7187,-0.67,2.2561
0.5174,-0.6191,2.3894
0.3291,-0.5433,2.3124
0.1765,-0.3935,1.9769
0.0226,-0.1513,1.4427
-0.0665,0.0053,0.7888
-0.1904,0.092,0.2288
-0.3889,0.1599,-0.132
-0.5699,0.0628,-0.1781
-0.582,-0.2956,0.0946
-0.5731,-0.7176,0.5748
-0.663,-1.0749,1.0093
-0.9016,-1.3438,1.2875
-1.164,-1.4358,1.3646
-1.3971,-1.4105,1.218
-1.5949,-1.2576,0.9079
-1.7554,-0.9818,0.5577
-1.7734,-0.7026,0.2364
-1.6024,-0.4202,-0.0106
-1.2882,-0.2304,-0.1906
-0.8998,-0.2123,-0.3179
-0.5981,-0.2367,-0.3878
-0.436,-0.2893,-0.3541
-0.3955,-0.447,-0.233
-0.462,-0.6068,-0.134
-0.623,-0.7807,-0.0569
-0.7835,-1.0097,-0.0802
-0.9292,-1.1762,-0.178
-1.043,-1.285,-0.3409
-1.115,-1.3194,-0.5402
-1.1586,-1.2722,-0.7401
-1.2089,-1.203,-0.9197
-1.2607,-1.0736,-1.0765
-1.2851,-0.932,-1.1384
-1.2602,-0.8238,-1.1857
-1.2412,-0.7543,-1.1024
-1.1343,-0.7716,-0.9928
-1.0393,-0.8522,-0.8818
-0.9343,-0.9578,-0.8459
-0.9052,-1.0284,-0.9143
-0.856,-1.0519,-1.0233
-0.8489,-0.9775,-1.244
-0.9191,-0.7637,-1.5045
-0.9292,-0.4983,-1.7051
-0.8272,-0.1927,-1.7829
-0.5967,0.1152,-1.6838
-0.3402,0.3699,-1.4855
-0.0616,0.6016,-1.2019
0.1621,0.7542,-0.9267
0.2486,0.9291,-0.6818
0.2012,1.0919,-0.5527
0.1189,1.1989,-0.59
-0.0368,1.3145,-0.8053
-0.2574,1.4965,-1.1992
-0.457,1.7052,-1.7366
-0.5478,1.9494,-2.296
-0.4698,2.2502,-2.8037
-0.3103,2.6144,-3.1572
-0.1711,2.8894,-3.154
-0.3186,2.9075,-2.7592
-0.8616,2.7334,-1.9126
-1.6194,2.5654,-0.7576
-2.3188,2.4814,0.6755
-2.7731,2.4335,2.193
-3.0222,2.1245,3.474
-2.9869,1.387,4.4398
-2.796,0.5187,5.0644
-2.3967,-0.2708,5.1763
-2.0216,-0.9927,4.6902
-1.6155,-1.5806,3.8416
-1.1288,-2.0435,2.9094
-0.4739,-2.3189,1.8959
0.2484,-2.4863,0.8608
0.853,-2.4917,0.0404
1.2294,-2.3563,-0.4598
1.4304,-2.0062,-0.7262
1.4899,-1.5641,-0.726
1.1332,-1.0114,-0.6015
0.4708,-0.5186,-0.3913
-0.1332,-0.2807,-0.0293
-0.6368,-0.2726,0.4346
-1.185,-0.3348,0.9089
-1.6688,-0.3844,1.4482
-1.9066,-0.4267,1.8347
-1.7663,-0.5003,2.0626
-1.298,-0.5762,2.0856
-0.687,-0.5716,1.8443
-0.0533,-0.5501,1.403
0.4739,-0.5608,0.9323
0.779,-0.6055,0.4365
0.9576,-0.6506,0.053
1.0135,-0.8205,-0.1658
0.9717,-1.0366,-0.2049
0.8586,-1.2487,-0.1717
0.7027,-1.4186,-0.0827
0.5803,-1.5081,0.0342
0.5892,-1.4888,0.1878
0.6674,-1.3973,0.3086
0.7728,-1.1911,0.4391
0.8553,-0.9688,0.5215
0.9516,-0.8219,0.5281
0.9518,-0.7457,0.4733
0.8966,-0.7113,0.3565
0.7518,-0.7519,0.1958
0.5432,-0.8194,-0.0216
0.3471,-0.8896,-0.2509
0.1871,-0.9718,-0.4763
0.0295,-1.0657,-0.6556
-0.0993,-1.1328,-0.7871
-0.2047,-1.1899,-0.8659
-0.2725,-1.2275,-0.9127
-0.2644,-1.2676,-0.9189
-0.1948,-1.2338,-0.9217
-0.0753,-1.1553,-0.9489
0.0127,-1.0228,-0.9945
0.0868,-0.8748,-0.9949
0.2174,-0.7089,-1.0385
0.4628,-0.5413,-1.1123
0.8107,-0.4091,-1.1821
1.1832,-0.2729,-1.2857
1.389,-0.0964,-1.3767
1.3793,0.0791,-1.2932
1.2425,0.2481,-1.0572
1.0662,0.4227,-0.7782
0.9028,0.6602,-0.4503
0.7959,0.9264,-0.152
0.7491,1.1912,0.0037
0.823,1.3863,-0.0246
0.9377,1.4772,-0.3262
0.9887,1.5197,-0.7974
0.9088,1.6058,-1.3939
0.7453,1.8113,-1.9291
0.6921,2.1021,-2.2646
0.5286,2.4606,-2.4152
0.2746,2.8205,-2.2513
0.1287,2.998,-1.7109
0.1362,3.0456,-0.9363
0.3086,3.0032,0.0061
0.6046,2.8233,1.075
1.0129,2.3949,2.2893
1.5061,1.6816,3.3711
1.7578,0.8188,3.8233
1.5438,-0.0049,3.722
0.9539,-0.7083,3.3972
0.2198,-1.3697,2.9598
-0.5722,-1.8817,2.3167
-1.3647,-2.1964,1.5257
-2.0458,-2.3137,0.7025
-2.4399,-2.2005,-0.1093
-2.5067,-1.932,-0.7521
-2.3089,-1.5555,-1.1112
-1.9731,-1.1214,-1.0948
-1.4866,-0.6875,-0.8753
