ax (m/s^2),ay (m/s^2),az (m/s^2)
0.4177,2.5446,-3.1652
0.0448,2.9647,-2.3883
-0.741,2.9807,-1.2123
-1.7353,2.6441,0.2004
-2.7175,2.1865,1.7665
-3.3803,1.6606,3.2131
-3.4774,0.9847,4.3212
-3.0445,0.1032,5.0103
-2.191,-0.7975,5.2521
-1.0935,-1.4021,4.9905
0.1396,-1.7723,4.2097
1.2286,-2.0863,3.0429
2.0996,-2.3616,1.7047
2.4977,-2.4554,0.3543
2.3937,-2.2333,-0.7998
1.8872,-1.6959,-1.637
1.1147,-0.9629,-2.0272
0.201,-0.1189,-2.0065
-0.7095,0.497,-1.6415
-1.4568,0.7389,-0.8365
-1.9163,0.6856,0.2682
-2.0779,0.4558,1.4384
-1.9667,0.1396,2.52
-1.6218,-0.1025,3.3425
-1.1321,-0.3097,3.7094
-0.5327,-0.5268,3.6308
0.0784,-0.7249,3.0629
0.6585,-0.8893,2.151
1.1459,-0.9881,1.1285
1.4993,-1.0789,0.0909
1.7353,-1.1915,-0.7752
1.8846,-1.3515,-1.3479
1.9226,-1.5137,-1.5914
1.8621,-1.65,-1.5377
1.6399,-1.7376,-1.2384
1.362,-1.761,-0.7608
1.1414,-1.6449,-0.2782
1.0053,-1.4788,0.1362
0.8758,-1.2998,0.4473
0.7563,-1.1352,0.6865
0.6581,-1.045,0.7494
0.567,-0.9788,0.5701
0.5103,-1.0172,0.2138
0.4187,-1.0804,-0.2191
0.3399,-1.1794,-0.6498
0.2887,-1.3232,-1.0182
0.271,-1.5065,-1.3257
0.3043,-1.6334,-1.5297
0.4259,-1.6777,-1.6703
0.5839,-1.5922,-1.7341
0.716,-1.3653,-1.7456
0.8169,-1.0815,-1.7197
0.8642,-0.8226,-1.6889
0.8758,-0.6004,-1.6266
0.8691,-0.417,-1.5483
0.9162,-0.3046,-1.4554
1.0093,-0.2376,-1.4143
1.0355,-0.1032,-1.4311
1.0896,0.108,-1.2079
1.1683,0.3377,-0.8239
1.1498,0.7094,-0.4464
0.9552,1.2821,-0.1185
0.7537,1.8249,0.0859
0.7252,2.1423,0.1781
0.8041,2.2447,0.2267
0.8182,2.2364,0.1123
0.7598,2.2226,-0.2318
0.6615,2.1821,-0.8182
0.5113,2.1039,-1.4695
0.4025,1.9882,-2.1376
0.1863,1.8636,-2.995
-0.3991,2.0193,-3.6909
-1.1417,2.74,-3.5973
-1.1625,3.4026,-2.7236
-0.1672,3.1697,-1.3597
1.2928,2.1886,0.221
2.5291,0.9031,1.6831
2.9938,-0.2141,2.9955
2.7942,-0.9314,4.1684
2.2047,-1.3545,5.0043
1.3378,-1.5671,5.2713
0.2775,-1.6464,5.0251
-0.8065,-1.5857,4.4061
-1.692,-1.3726,3.4391
-2.1685,-1.0696,2.2213
-2.2035,-0.7724,0.9343
-1.8135,-0.4606,-0.1666
-1.1647,-0.1372,-0.922
-0.4575,0.1716,-1.2108
0.1498,0.4146,-1.2039
0.704,0.5236,-0.8999
1.116,0.3122,-0.3009
1.2553,-0.035,0.465
1.1886,-0.4504,1.1399
0.8811,-0.7752,1.6591
0.3655,-0.9652,1.9997
-0.243,-1.0444,2.1658
-0.74,-1.0843,2.1136
-1.1195,-1.0213,1.7512
-1.4525,-0.8802,1.2422
-1.6472,-0.8128,0.6541
-1.7374,-0.8106,0.0166
-1.7526,-0.8608,-0.5299
-1.72,-0.9558,-0.9318
-1.7046,-1.0719,-1.1843
-1.6664,-1.1517,-1.2796
-1.7166,-1.2028,-1.2867
