ax (m/s^2),ay (m/s^2),az (m/s^2)
-0.9265,0.0211,-0.3549
-1.0035,0.0203,-0.3533
-1.0692,0.0032,-0.2729
-1.0906,-0.0141,-0.1148
-1.0233,-0.0442,0.0672
-0.8794,-0.054,0.2021
-0.6726,-0.1012,0.2351
-0.4587,-0.1663,0.1657
-0.2631,-0.2249,0.0171
-0.1265,-0.3075,-0.1501
-0.0565,-0.4275,-0.3324
-0.1066,-0.563,-0.5025
-0.1614,-0.7423,-0.5605
-0.2239,-0.9725,-0.5737
-0.2535,-1.1892,-0.5492
-0.2018,-1.3833,-0.5195
-0.1517,-1.5646,-0.5034
-0.0663,-1.707,-0.5193
-0.0209,-1.8178,-0.5646
0.0215,-1.8945,-0.5964
-0.0099,-1.889,-0.663
-0.1079,-1.8321,-0.7337
-0.2949,-1.6923,-0.7663
-0.5563,-1.4789,-0.817
-0.8324,-1.2828,-0.8048
-0.9954,-1.1327,-0.7371
-1.0895,-1.0031,-0.5768
-1.1123,-0.8825,-0.4062
-1.0754,-0.7575,-0.2523
-1.008,-0.679,-0.1424
-0.931,-0.6666,-0.1162
-0.7693,-0.6895,-0.1154
-0.6218,-0.7237,-0.1949
-0.5611,-0.7448,-0.3601
-0.5607,-0.7143,-0.5255
-0.5408,-0.6462,-0.7084
-0.5592,-0.54,-0.9338
-0.5616,-0.4215,-1.0881
-0.5201,-0.3501,-1.1846
-0.478,-0.311,-1.2458
-0.4018,-0.2899,-1.2479
-0.3175,-0.2362,-1.2557
-0.2605,-0.205,-1.1928
-0.1924,-0.1987,-1.114
-0.1224,-0.17,-0.9894
-0.1076,-0.1217,-0.8923
-0.1426,-0.0563,-0.8626
-0.2033,0.0903,-0.811
-0.3253,0.299,-0.8521
-0.5109,0.5126,-0.958
-0.7529,0.6982,-1.0127
-1.0136,0.8516,-1.0344
-1.1875,0.9498,-0.9506
-1.3242,1.0333,-0.6512
-1.304,1.1929,-0.2523
-1.2494,1.4225,0.1117
-1.0578,1.7066,0.3171
-0.7041,2.0537,0.3083
-0.225,2.4496,0.0687
0.1145,2.7083,-0.2094
0.2488,2.6966,-0.3006
0.082,2.3479,-0.1679
