ax (m/s^2),ay (m/s^2),az (m/s^2)
-0.2162,-2.1576,-1.8208
-0.3318,-2.0046,-1.8197
-0.4016,-1.8685,-1.7562
-0.4277,-1.7903,-1.5885
-0.4398,-1.7137,-1.3867
-0.3776,-1.5768,-1.2049
-0.162,-1.3922,-1.0613
0.0707,-1.1102,-0.9433
0.3544,-0.7795,-0.8637
0.6247,-0.4107,-0.7756
0.8941,-0.0286,-0.6994
1.1221,0.3161,-0.711
1.2292,0.5847,-0.7285
1.2511,0.818,-0.7855
1.1638,1.004,-0.9035
1.0872,1.1666,-1.0153
1.005,1.2176,-1.1239
0.9718,1.1449,-1.2077
0.9595,0.9594,-1.2874
0.9567,0.7367,-1.4146
0.9508,0.5978,-1.6204
0.9107,0.6066,-1.8573
0.7838,0.7887,-2.0494
0.5567,1.0638,-2.1368
0.2832,1.315,-2.1252
0.0178,1.3305,-1.8973
-0.0885,1.0313,-1.3895
-0.1241,0.6862,-0.7058
-0.0202,0.6937,-0.0371
0.0714,1.2559,0.5021
0.2576,2.3915,0.9121
0.7448,3.7263,1.1343
1.1686,4.8682,1.3901
1.2847,5.3001,1.856
1.3908,4.8188,2.3735
1.4493,3.765,3.0268
1.3497,2.7538,3.7092
1.251,1.8173,4.1407
1.1003,0.9889,4.1587
0.8738,0.3067,3.6651
0.5474,-0.3089,2.8121
0.142,-0.8021,1.8432
-0.2471,-1.2138,0.9384
-0.5909,-1.5118,0.1882
-0.8937,-1.697,-0.2979
-1.0105,-1.6947,-0.5755
-0.9944,-1.602,-0.6781
-0.9079,-1.4243,-0.6561
-0.7894,-1.2342,-0.4516
-0.6931,-1.0672,-0.1138
-0.6976,-0.8814,0.3199
-0.747,-0.6225,0.779
-0.765,-0.3704,1.1392
-0.7922,-0.1364,1.308
-0.8005,0.0574,1.356
-0.6886,0.1657,1.3143
-0.4395,0.2343,1.1426
-0.1211,0.2762,0.906
0.2046,0.3003,0.5617
0.4892,0.262,0.0614
0.6168,0.1453,-0.4954
0.6335,-0.0758,-1.0565
0.5178,-0.3536,-1.5424
0.2569,-0.6212,-1.7451
-0.0533,-0.7724,-1.7024
-0.3778,-0.8211,-1.4036
-0.5805,-0.7507,-1.0067
-0.7462,-0.5991,-0.5605
-0.8634,-0.3915,-0.2301
-0.97,-0.203,0.0365
-1.054,-0.0841,0.2376
-1.1909,-0.0656,0.3751
-1.3328,-0.2385,0.456
-1.4997,-0.516,0.4457
-1.5632,-0.8236,0.3307
-1.5278,-1.1583,0.1405
-1.4384,-1.5078,-0.1239
-1.2338,-1.8619,-0.4451
-0.8829,-2.2748,-0.8252
-0.4127,-2.6524,-1.2226
0.0721,-3.0178,-1.5836
0.4673,-3.3296,-1.8754
0.7095,-3.5609,-2.053
0.8138,-3.7017,-2.1813
0.7415,-3.6993,-2.2049
0.492,-3.547,-2.0867
0.102,-3.2481,-1.9306
-0.3402,-2.8445,-1.7563
-0.7222,-2.3734,-1.576
-0.9855,-1.9149,-1.4021
-1.1795,-1.4292,-1.2741
-1.2494,-0.9265,-1.167
-1.356,-0.4548,-1.1043
-1.4485,-0.0503,-1.0835
-1.4424,0.2495,-1.1032
-1.3867,0.4667,-1.131
-1.2705,0.6021,-1.1367
-1.1568,0.7232,-1.0492
-1.1197,0.9376,-0.9232
-1.1504,1.2881,-0.7582
-1.2003,1.717,-0.6428
-1.256,2.0624,-0.5504
-1.2203,2.3028,-0.4443
-1.3086,2.3905,-0.219
-1.358,2.4965,0.1815
-1.2323,3.0955,0.6132
-0.8855,4.232,0.8909
-0.5475,5.2265,0.9561
-0.3593,5.6071,1.0653
-0.4379,5.1615,1.3938
-0.8415,4.0418,2.0173
-1.2454,2.7448,2.781
-1.5812,1.6604,3.3467
-1.8447,0.8312,3.4559
-1.9737,0.1725,3.2015
-1.9626,-0.3334,2.7245
-1.6568,-0.7349,2.0986
-1.2126,-1.0324,1.4125
-0.7333,-1.2293,0.8607
-0.2557,-1.298,0.4512
0.0552,-1.2191,0.2551
0.2833,-1.0996,0.0869
0.4432,-0.9989,-0.1023
0.4866,-0.9886,-0.2391
0.506,-1.1165,-0.1894
0.5874,-1.3527,0.0393
0.6426,-1.5192,0.2895
0.6146,-1.5239,0.4443
0.4598,-1.3006,0.4572
0.2373,-0.9641,0.3566
0.1192,-0.5852,0.1527
0.077,-0.2555,-0.0334
0.095,-0.0048,-0.1445
0.1863,0.1533,-0.1533
0.3738,0.2498,0.0022
0.5575,0.2076,0.2778
0.669,0.1451,0.6469
0.7105,0.056,1.0483
0.6966,-0.1095,1.4162
0.7347,-0.3813,1.6239
0.824,-0.6741,1.6494
0.898,-0.9608,1.5128
1.1405,-1.2636,0.9978
1.124,-1.5164,0.6064
1.0235,-1.7871,0.2303
0.8858,-2.1202,-0.1616
0.7629,-2.5079,-0.5539
0.5409,-2.7921,-0.9355
0.2413,-2.8868,-1.2438
-0.1127,-2.9386,-1.4923
-0.4334,-2.9019,-1.6257
-0.703,-2.8871,-1.6554
-0.7567,-2.8871,-1.6288
-0.6956,-2.9142,-1.5476
-0.4835,-2.9878,-1.5024
-0.2523,-2.9211,-1.4571
0.0106,-2.8124,-1.4286
0.299,-2.6329,-1.4385
0.5539,-2.2538,-1.4193
0.7328,-1.7763,-1.3866
0.8772,-1.2514,-1.3344
0.974,-0.7372,-1.2861
1.0617,-0.3324,-1.2192
1.0205,-0.0254,-1.0972
0.9407,0.1929,-0.938
0.9115,0.3676,-0.7336
1.0031,0.6091,-0.5579
1.2318,0.9418,-0.455
1.6054,1.3471,-0.4381
2.0107,1.7582,-0.4099
2.301,2.0145,-0.3899
2.374,2.0032,-0.3274
2.2418,1.7211,-0.2138
1.8022,1.3166,-0.151
1.1998,0.9597,-0.2444
0.6008,0.7544,-0.4448
0.193,0.6655,-0.667
-0.0796,0.6004,-0.886
-0.1905,0.5777,-1.0447
0.0007,0.3682,-1.0748
0.456,-0.0011,-0.9515
0.9152,-0.2892,-0.6562
1.2283,-0.1395,-0.3066
1.3183,0.6601,0.0039
1.3289,1.9834,0.1884
1.5054,3.3716,0.363
1.7579,4.2516,0.7116
1.8345,4.4154,1.1585
1.8212,3.8556,1.8359
1.6166,2.9957,2.6864
1.2101,2.1548,3.5719
0.5935,1.611,4.1597
0.0273,1.1181,4.1676
-0.366,0.5505,3.5468
-0.8213,-0.0961,2.689
-1.3597,-0.7327,1.8426
-1.8284,-1.2688,1.1259
-2.0779,-1.6447,0.5518
-2.2421,-1.8159,0.128
-2.1771,-1.8065,-0.1125
-1.9703,-1.5642,-0.1543
-1.7296,-1.2226,-0.0258
-1.3665,-0.9659,0.3175
-0.9557,-0.7658,0.8063
-0.4674,-0.5616,1.3605
-0.0056,-0.2728,1.8299
0.2802,0.0384,2.0457
0.3747,0.2702,2.0259
0.3783,0.3728,1.8758
0.2871,0.4219,1.5979
0.053,0.3889,1.1671
-0.2279,0.3052,0.62
-0.4325,0.1017,0.0552
-0.5266,-0.178,-0.6044
-0.6719,-0.4483,-1.1182
-0.7154,-0.7159,-1.4489
-0.725,-0.9167,-1.5984
-0.8823,-1.0297,-1.5967
-0.984,-1.08,-1.5091
-1.069,-1.1239,-1.2969
-1.1605,-1.1339,-1.0515
-1.1398,-1.0796,-0.8645
-1.2118,-0.9592,-0.6706
-1.2705,-0.8203,-0.5412
-1.3589,-0.6532,-0.412
-1.4601,-0.4533,-0.2632
-1.5659,-0.3163,-0.1022
-1.6299,-0.2614,-0.025
-1.6179,-0.2577,0.0474
-1.5088,-0.2909,0.0139
-1.238,-0.3799,-0.1241
-0.8605,-0.46,-0.3502
-0.4848,-0.5809,-0.632
-0.0404,-0.8806,-0.911
0.2612,-1.3654,-1.1524
0.427,-1.8957,-1.2665
0.3959,-2.2845,-1.3062
0.2563,-2.5196,-1.2961
0.0289,-2.6446,-1.2713
-0.252,-2.6002,-1.2715
-0.5881,-2.4134,-1.3604
-0.8533,-2.1996,-1.4942
-1.0582,-2.0452,-1.5676
-1.1729,-1.9357,-1.5865
-1.1551,-1.893,-1.5195
-1.0867,-1.8408,-1.4605
-1.0534,-1.7865,-1.3849
-0.9998,-1.7061,-1.319
-0.9399,-1.5231,-1.2626
-0.9246,-1.2973,-1.1945
-0.8585,-1.0814,-1.1145
-0.7531,-0.8353,-0.9856
-0.5902,-0.6335,-0.8426
-0.4632,-0.4281,-0.7427
-0.4329,-0.1327,-0.6956
-0.5956,0.301,-0.6521
-0.8117,0.8616,-0.6301
-0.9923,1.5304,-0.65
-1.0231,2.1758,-0.6954
-0.8698,2.7098,-0.6734
-0.6268,2.9558,-0.5205
-0.3403,2.8983,-0.2217
-0.0376,2.6124,0.2081
0.1717,2.3681,0.7006
0.2023,2.4272,1.0127
0.3148,2.9694,1.0411
0.2809,3.5294,0.7388
0.0612,3.5461,0.4786
-0.3573,2.949,0.5733
-0.9514,2.101,0.9422
-1.6547,1.4521,1.3753
-2.4725,1.1946,1.6065
-2.9885,1.0725,1.5387
-2.9798,0.8942,1.3261
-2.5315,0.6642,1.0088
-1.8389,0.4558,0.6599
-1.1063,0.2363,0.3726
-0.5293,0.0892,0.3303
-0.0608,0.0278,0.4802
0.2099,-0.045,0.7383
0.2093,-0.1448,1.1018
0.0278,-0.2877,1.4505
-0.2568,-0.4485,1.7432
-0.5885,-0.5327,1.9237
-0.8886,-0.4884,1.9021
-1.0838,-0.3587,1.6925
-1.09,-0.1951,1.3297
-0.9179,-0.0795,0.8703
-0.7218,0.0476,0.4098
-0.4835,0.1157,0.092
-0.1655,0.1545,-0.0844
0.2297,0.0997,-0.1891
0.5336,-0.0761,-0.197
0.6774,-0.2683,-0.0625
0.739,-0.4595,0.1379
0.6981,-0.6,0.3502
0.6162,-0.6956,0.5089
0.488,-0.7135,0.5724
0.3279,-0.6735,0.5442
0.2219,-0.6164,0.4339
0.16,-0.5825,0.2363
0.1378,-0.6283,-0.0216
0.1131,-0.7545,-0.3232
0.0864,-0.8908,-0.668
0.0534,-1.0458,-0.8878
-0.0444,-1.1808,-1.0166
-0.1511,-1.284,-0.9939
-0.2416,-1.3324,-0.8996
-0.2849,-1.3557,-0.801
-0.2727,-1.3404,-0.7015
-0.1749,-1.2782,-0.5705
0.0025,-1.2462,-0.4793
0.194,-1.2443,-0.4474
0.3892,-1.2893,-0.4704
0.5478,-1.3858,-0.5322
0.6732,-1.4954,-0.6289
0.7703,-1.5576,-0.7588
0.806,-1.5891,-0.8941
0.8498,-1.5991,-1.0043
0.8589,-1.5636,-1.0874
0.8406,-1.4992,-1.1126
0.8042,-1.4323,-1.0728
0.6745,-1.3846,-1.0368
0.5101,-1.2938,-0.9829
0.3873,-1.1743,-0.9228
0.3199,-1.0239,-0.904
0.2624,-0.8568,-0.8933
0.2484,-0.6729,-0.8545
0.2833,-0.5255,-0.8377
0.3051,-0.4175,-0.7843
0.3141,-0.34,-0.7384
0.3052,-0.2578,-0.7132
0.3206,-0.2013,-0.7068
0.3301,-0.1724,-0.7165
0.4044,-0.1915,-0.7916
0.4541,-0.1766,-0.9497
0.4988,-0.1603,-1.1397
0.498,-0.1084,-1.3463
0.337,0.0133,-1.5418
0.0488,0.1885,-1.7033
-0.3048,0.3964,-1.8199
-0.6402,0.6019,-1.8932
-0.9246,0.7442,-1.9045
-1.0234,0.6929,-1.7336
-0.7911,0.3467,-1.2128
-0.5301,0.2211,-0.5339
-0.3804,0.9137,0.179
0.1011,2.1661,0.8856
0.7466,3.7883,1.4484
1.2334,5.2822,1.8791
1.4855,5.8722,2.1683
1.2476,5.4045,2.5164
0.9098,4.0599,3.059
0.5677,2.5186,3.7603
0.3837,1.1497,4.4745
0.4577,0.0877,4.8176
0.6849,-0.6093,4.547
0.8007,-0.9929,3.6889
0.7162,-1.1497,2.4952
0.4894,-1.1584,1.2674
0.2117,-1.0983,0.1324
0.0001,-1.0349,-0.8496
-0.0817,-1.0345,-1.5572
-0.0152,-1.1081,-1.8659
0.0969,-1.273,-1.8014
0.2851,-1.4769,-1.3256
0.5317,-1.5419,-0.6303
0.6133,-1.4506,0.035
0.4833,-1.1517,0.7002
0.2865,-0.744,1.3273
0.0501,-0.256,1.733
-0.1545,0.1798,1.8515
-0.403,0.4773,1.793
-0.7385,0.6299,1.6334
-1.0316,0.5795,1.3463
-1.2482,0.376,0.9984
