ax (m/s^2),ay (m/s^2),az (m/s^2)
-1.7065,-0.9844,-0.6827
-1.2705,-1.1616,-0.4881
-0.8891,-1.2254,-0.2952
-0.5953,-1.1937,-0.1092
-0.3935,-1.1122,0.0755
-0.317,-1.0007,0.2225
-0.3475,-0.9172,0.3098
-0.4358,-0.9459,0.3482
-0.5595,-1.0537,0.3192
-0.7207,-1.1925,0.2008
-0.8453,-1.309,-0.0548
-0.9458,-1.3785,-0.4267
-1.026,-1.4449,-0.8125
-1.0963,-1.4819,-1.1885
-1.1145,-1.541,-1.47
-1.0644,-1.5934,-1.5665
-0.9361,-1.6775,-1.5183
-0.7892,-1.7243,-1.379
-0.6352,-1.7534,-1.168
-0.4807,-1.7271,-0.9692
-0.3655,-1.651,-0.8423
-0.2765,-1.5087,-0.8023
-0.2497,-1.2664,-0.8701
-0.3225,-0.9799,-1.0528
-0.5009,-0.6743,-1.242
-0.697,-0.466,-1.3837
-0.9371,-0.3374,-1.4381
-1.1471,-0.3047,-1.3402
-1.2187,-0.4449,-1.065
-1.1371,-0.6726,-0.7167
-0.859,-0.8959,-0.4241
-0.4984,-1.0754,-0.2637
-0.0953,-1.1469,-0.2324
0.1732,-1.0736,-0.3275
0.3231,-0.898,-0.5444
0.3034,-0.701,-0.8338
0.12,-0.5105,-1.1285
-0.1487,-0.3736,-1.3865
-0.4778,-0.3129,-1.5012
-0.7247,-0.2896,-1.4747
-0.7427,-0.2865,-1.3068
-0.4602,-0.2125,-1.0472
0.0045,0.0909,-0.6653
0.4381,0.629,-0.2562
0.7272,1.4095,0.1489
0.9676,2.379,0.6108
1.1477,3.3738,1.2067
1.0959,4.1337,1.962
0.6089,4.2791,2.8261
-0.4322,3.6709,3.4267
-1.1713,2.5253,3.461
-1.2666,1.2553,3.1234
-1.0469,0.1889,2.5317
-0.7345,-0.6116,1.6846
-0.1519,-0.9644,0.6367
0.6973,-0.8543,-0.3524
1.4493,-0.4962,-1.095
